bnum	Gene	WT_FeCl2	Dfur_FeCl2	log2(fold_change)_Dfur/wt)
b0005	yaaX	232.445	162.216	-0.51897
b0010	yaaH	40.1689	24.4621	-0.715528
b0014	dnaK	1014.05	1936.66	0.933437
b0015	dnaJ	238.493	371.728	0.640301
b0032	carA	2009.81	1250.07	-0.685052
b0033	carB	1703.5	1011.7	-0.751729
b0034	caiF	111.066	46.9933	-1.2409
b0074	leuA	903.18	1737.63	0.944033
b0118	acnB	2140	862.651	-1.31076
b0123	cueO	692.786	164.13	-2.07757
b0125	hpt	416.967	270.241	-0.625689
b0150	fhuA	224.429	465.589	1.0528
b0151	fhuC	55.0574	102.441	0.895779
b0152	fhuD	41.6965	85.331	1.03314
b0153	fhuB	17.6337	33.3676	0.920114
b0156	erpA	407.365	251.035	-0.698436
b0161	degP	212.589	334.198	0.652636
b0231	dinB	31.3734	58.5891	0.90109
b0244	thrW	45178	23687.3	-0.931505
b0260	mmuP	40.0768	57.696	0.525705
b0272	yagI	181.832	103.46	-0.813527
b0273	argF	1135.71	480.265	-1.2417
b0296	ykgM	26410.3	59.9335	-8.78352
b0315	yahA	17.7788	28.6513	0.688442
b0329	yahO	800.785	1254.23	0.647313
b0330	prpR	10.75	16.5633	0.623654
b0336	codB	423.595	266.924	-0.666258
b0337	codA	967.645	558.262	-0.793535
b0384	psiF	115.139	173.154	0.588673
b0386	proC	222.267	114.934	-0.951487
b0411	tsx	1031.2	453.724	-1.18444
b0420	dxs	182.975	125.659	-0.54214
b0435	bolA	562.613	804.511	0.515969
b0450	glnK	59.1932	17.4387	-1.76314
b0451	amtB	68.7353	23.562	-1.54459
b0468	ybaN	64.0774	134.014	1.06449
b0473	htpG	234.185	490.103	1.06544
b0474	adk	1438.73	966.991	-0.573221
b0479	fsr	22.4021	40.9864	0.871509
b0484	copA	737.817	292.775	-1.33347
b0486	ybaT	39.3718	26.9092	-0.549063
b0552	insH-2	250.608	176.566	-0.505224
b0553	nmpC	1526.24	524.188	-1.54183
b0557	borD	1030.55	417.294	-1.30427
b0570	cusS	30.7924	46.7843	0.603452
b0571	cusR	58.0022	96.5997	0.73591
b0572	cusC	13.4692	131.651	3.28899
b0573	cusF	42.2121	291.937	2.78993
b0574	cusB	12.2717	93.5385	2.93023
b0575	cusA	6.28681	31.4609	2.32316
b0576	pheP	53.7062	34.5333	-0.637101
b0583	entD	7.48737	339.748	5.50386
b0584	fepA	27.2793	2566.06	6.5556
b0585	fes	18.7954	780.295	5.37557
b0586	entF	24.709	1042.84	5.39933
b0587	fepE	0.913941	8.80192	3.26765
b0588	fepC	29.4299	175.723	2.57795
b0589	fepG	11.6429	68.9139	2.56534
b0590	fepD	21.7807	114.406	2.39304
b0591	entS	23.8275	153.945	2.69172
b0592	fepB	38.6681	230.476	2.5754
b0593	entC	44.0806	2750.1	5.9632
b0594	entE	34.5263	2044.9	5.88819
b0595	entB	32.9316	1647.71	5.64485
b0596	entA	34.6661	1380.84	5.31587
b0597	entH	32.0609	1408.59	5.4573
b0598	cstA	92.6352	147.791	0.673929
b0608	ybdR	20.3338	30.375	0.579007
b0623	cspE	22362.1	15019.9	-0.574182
b0624	crcB	82.0639	47.7523	-0.781178
b0651	rihA	58.3931	39.7274	-0.555664
b0656	insH-3	251.662	176.478	-0.511998
b0661	miaB	328.86	192.725	-0.770929
b0672	leuW	19344.7	7955.38	-1.28193
b0721	sdhC	1514.6	490.05	-1.62794
b0722	sdhD	1284.77	304.258	-2.07814
b0723	sdhA	1309.27	328.025	-1.99689
b0724	sdhB	1953.28	457.044	-2.09549
b0726	sucA	1174.33	600.24	-0.968223
b0727	sucB	1890.23	892.524	-1.0826
b0728	sucC	1868.11	950.146	-0.97536
b0729	sucD	1992.49	1083.57	-0.878789
b0746	valZ	116677	73360.8	-0.669443
b0749	lysQ	40418.3	20389.8	-0.987162
b0753	ybgS	70.5365	106.474	0.594063
b0755	gpmA	1839.97	6171.41	1.74592
b0760	modF	231.511	349.879	0.595776
b0773	ybhB	243.818	383.392	0.653017
b0774	bioA	76.1075	293.046	1.94502
b0775	bioB	227.918	376.679	0.724822
b0776	bioF	84.2483	166.833	0.985683
b0777	bioC	78.2384	140.547	0.845106
b0778	bioD	147.279	224.882	0.610618
b0779	uvrB	106.423	158.93	0.578583
b0781	moaA	227.645	666.734	1.55032
b0782	moaB	349.426	1052.27	1.59045
b0783	moaC	252.004	750.335	1.57409
b0784	moaD	58.1487	206.731	1.82994
b0785	moaE	237.119	669.842	1.49821
b0789	ybhO	34.8233	50.7352	0.542932
b0797	rhlE	75.7583	43.7495	-0.792136
b0802	ybiJ	106.681	229.281	1.10381
b0803	ybiI	71.8222	541.528	2.91453
b0804	ybiX	15.4284	561.548	5.18575
b0805	fiu	47.8989	2107.45	5.45936
b0808	ybiO	10.7067	15.7126	0.553414
b0833	yliE	48.3052	31.8504	-0.600867
b0834	yliF	41.5367	25.2306	-0.719209
b0835	rimO	187.04	129.445	-0.531005
b0836	bssR	60.4616	94.0903	0.638025
b0849	grxA	74.6532	152.136	1.02709
b0850	ybjC	96.9431	157.153	0.696961
b0851	nfsA	123.464	192.981	0.644365
b0860	artJ	2110.18	1457.54	-0.533835
b0871	poxB	191.062	339.056	0.827485
b0877	ybjX	368.036	182.317	-1.0134
b0880	cspD	987.744	2005.98	1.0221
b0894	dmsA	9.45008	3.40606	-1.47222
b0897	ycaC	223.251	465.719	1.0608
b0902	pflA	154.7	48.0619	-1.6865
b0905	ycaO	159.163	111.767	-0.510017
b0929	ompF	11019.3	5371.57	-1.03662
b0945	pyrD	456.937	317.373	-0.525814
b0953	rmf	4389.34	8221.57	0.90541
b0958	sulA	94.5361	579.439	2.61572
b0971	serT	15847	39027.3	1.30027
b0993	torS	8.18954	5.49554	-0.575522
b0999	cbpM	236.016	161.184	-0.550173
b1017	efeU_2	97.1113	241.171	1.31234
b1018	efeO	278.966	803.402	1.52603
b1019	efeB	140.226	339.707	1.27653
b1025	ycdT	12.0771	6.55812	-0.880917
b1036	ycdZ	94.881	64.1509	-0.564649
b1037	csgG	60.8538	40.7865	-0.577253
b1061	dinI	408.456	705.961	0.789407
b1073	flgB	3.01668	16.915	2.48727
b1075	flgD	2.69484	10.1696	1.91599
b1076	flgE	5.25922	17.238	1.71267
b1102	fhuE	10.7078	337.153	4.97667
b1107	nagZ	153.349	105.68	-0.537114
b1120	cobB	177.702	123.708	-0.522519
b1125	potB	62.7601	42.3178	-0.568583
b1140	intE	10.0974	34.6604	1.7793
b1141	xisE	14.2104	72.6462	2.35394
b1142	ymfH	6.37731	40.1387	2.65398
b1144	ymfJ	13.7056	60.6525	2.1458
b1147	ymfL	4.06063	27.3365	2.75105
