bnum	Gene	WT_Dipyridyl	Dfur_Dipyridyl	log2(fold_change)_(Dfur/wt)
b0002	thrA	3198.87	1042.49	-1.61753
b0003	thrB	3351.23	1061.92	-1.65802
b0004	thrC	1552.68	489.829	-1.66441
b0032	carA	93.1384	303.962	1.70644
b0033	carB	103.738	300.831	1.53601
b0071	leuD	6030.58	2666.23	-1.17749
b0072	leuC	6377.9	2848.5	-1.16288
b0073	leuB	6903.41	3152.09	-1.131
b0074	leuA	8904.22	3578.64	-1.31508
b0112	aroP	107.815	192.116	0.833426
b0120	speD	295.166	424.769	0.525154
b0161	degP	251.78	377.886	0.585788
b0197	metQ	3353.97	5516.72	0.717939
b0198	metI	497.603	789.682	0.666276
b0199	metN	1318.66	2040.22	0.629653
b0207	dkgB	94.7439	59.2652	-0.676847
b0220	ivy	853.047	1304.17	0.612436
b0260	mmuP	200.634	416.855	1.05498
b0261	mmuM	376.481	776.281	1.044
b0273	argF	128.309	282.009	1.13612
b0281	intF	161.664	110.944	-0.543171
b0331	prpB	17.5284	3.04585	-2.52477
b0333	prpC	7.07742	2.17154	-1.70451
b0336	codB	14.5236	37.7749	1.37903
b0337	codA	87.6449	148.953	0.765112
b0428	cyoE	197.382	310.542	0.653797
b0429	cyoD	162.711	265.981	0.709009
b0431	cyoB	626.653	943.646	0.590578
b0432	cyoA	1021.7	1618.08	0.663319
b0433	ampG	17.8125	30.6836	0.784578
b0434	yajG	301.274	452.557	0.587022
b0553	nmpC	37.0498	67.7039	0.869773
b0583	entD	66.8562	115.194	0.784935
b0584	fepA	367.613	610.062	0.730767
b0599	ybdH	362.831	876.694	1.27278
b0600	ybdL	368.192	906.88	1.30045
b0623	cspE	7284.51	10693.9	0.553877
b0683	fur	1114.83	2.67177	-8.70481
b0721	sdhC	57.5094	108.286	0.912981
b0723	sdhA	111.617	159.581	0.515725
b0760	modF	397.7	69.8473	-2.5094
b0801	ybiC	791.148	1453.69	0.877697
b0860	artJ	227.526	407.631	0.841234
b0873	hcp	9.47198	2.71406	-1.80321
b0929	ompF	186.413	329.715	0.822712
b0945	pyrD	49.1864	103.457	1.0727
b0958	sulA	127.696	266.275	1.0602
b1014	putA	59.3753	39.5563	-0.585954
b1140	intE	12.7959	23.132	0.854202
b1147	ymfL	2.62417	12.3473	2.23427
b1149	ymfN	5.4929	14.389	1.38932
b1163	ycgF	29.0916	49.9377	0.779526
b1164	ycgZ	1002.45	414.275	-1.27487
b1165	ymgA	497.374	204.419	-1.2828
b1166	ariR	367.521	210.383	-0.80481
b1167	ymgC	540.414	172.401	-1.6483
b1178	ycgK	346.62	578.392	0.738693
b1190	dadX	433.776	632.821	0.544848
b1195	ymgE	648.836	393.506	-0.721469
b1233	ychJ	40.1547	70.1949	0.805799
b1243	oppA	1596.8	4205.89	1.39723
b1244	oppB	100.849	302.539	1.58492
b1245	oppC	120.492	369.184	1.61541
b1246	oppD	192.939	496.955	1.36497
b1247	oppF	212.104	492.413	1.2151
b1263	trpD	218.242	347.491	0.671051
b1264	trpE	218.461	389.65	0.834804
b1287	yciW	561.341	382.267	-0.554295
b1300	puuC	26.644	43.8467	0.718656
b1378	ydbK	274.289	189.258	-0.535339
b1415	aldA	52.206	107.657	1.04416
b1429	tehA	109.72	69.2761	-0.663397
b1430	tehB	558.504	372.281	-0.585173
b1447	ydcZ	35.2027	87.8063	1.31864
b1448	yncA	359.784	824.444	1.19629
b1492	gadC	1139.75	1806.41	0.664408
b1493	gadB	2698.31	4674.28	0.792688
b1494	pqqL	33.03	135.717	2.03875
b1495	yddB	54.0576	213.808	1.98374
b1496	yddA	21.3495	78.4046	1.87673
b1535	ydeH	11.764	21.5369	0.872428
b1611	fumC	145.307	94.255	-0.624466
b1634	tppB	36.2794	82.4073	1.18362
b1656	sodB	19.9331	41.7374	1.06617
b1713	pheT	524.033	748.811	0.514945
b1714	pheS	292.506	497.712	0.766847
b1745	astB	40.9352	24.6853	-0.729689
b1746	astD	54.0666	28.0011	-0.949252
b1747	astA	56.7318	33.439	-0.762627
b1748	astC	71.9094	43.9429	-0.710549
b1782	mipA	349.217	500.661	0.519712
b1836	yebV	7221.48	4848.84	-0.574654
b1856	yebA	97.4431	152.136	0.642729
b1857	znuA	134.935	514.917	1.93207
b1973	zinT	21.5889	107.396	2.31457
b1981	shiA	223.891	555.923	1.31209
b2000	flu	415.214	61.1301	-2.7639
b2001	yeeR	29.7131	8.43348	-1.8169
b2019	hisG	350.714	934.752	1.41429
b2020	hisD	369.019	929.195	1.33228
b2021	hisC	416.517	1075.02	1.36792
b2022	hisB	463.737	1066.33	1.20128
b2023	hisH	294.982	764.143	1.37321
b2024	hisA	254.625	658.431	1.37066
b2025	hisF	272.227	666.731	1.29229
b2026	hisI	294.112	759.638	1.36895
b2091	gatD	42.4471	164.69	1.95602
b2092	gatC	69.6255	270.626	1.95861
b2093	gatB	65.22	397.393	2.60718
b2094	gatA	115.148	470.025	2.02925
b2095	gatZ	425.517	1206.35	1.50337
b2096	gatY	679.077	1671.23	1.29926
b2114	metG	418.915	629.778	0.588186
b2152	yeiB	35.5994	64.6724	0.861296
b2153	folE	1444.98	2659.72	0.880228
b2175	spr	99.9559	210.251	1.07275
b2209	eco	73.4811	128.769	0.809344
b2210	mqo	177.665	269.311	0.600114
b2301	yfcF	265.637	479.771	0.85289
b2352	yfdI	21.1038	35.2796	0.74133
b2370	evgS	7.44535	12.3964	0.735514
b2410	yfeH	81.056	120.437	0.571288
b2422	cysA	1614.51	1004.22	-0.685018
b2497	uraA	8.70503	25.3395	1.54147
b2498	upp	119.472	209.896	0.813
b2552	hmp	1480.55	306.631	-2.27156
b2589	rrlG	68.1877	45.4567	-0.58502
b2599	pheA	325.571	701.489	1.10745
b2616	recN	33.113	77.1822	1.22087
b2669	stpA	733.761	328.737	-1.15838
b2670	ygaW	28.7221	158.794	2.46693
b2673	nrdH	5049.54	2945.08	-0.777848
b2674	nrdI	4280.54	2613.4	-0.711862
b2675	nrdE	1481.11	985.838	-0.587258
b2676	nrdF	942.199	624.072	-0.59432
b2677	proV	160.071	267.162	0.739005
b2678	proW	105.373	162.159	0.621906
b2679	proX	116.307	211.504	0.862748
b2732	ygbA	275.987	141.483	-0.96397
b2750	cysC	444.779	313.117	-0.506385
b2751	cysN	1514.22	1011.09	-0.582665
b2818	argA	143.576	243.484	0.762009
b2845	yqeG	9.21789	16.4539	0.835916
b2903	gcvP	46.2924	75.6727	0.708998
b2904	gcvH	98.7606	210.321	1.09058
b2905	gcvT	57.4594	134.627	1.22836
b3008	metC	686.287	1645.2	1.26138
b3009	yghB	124.222	251.343	1.01674
b3011	yqhD	480.766	168.766	-1.51031
b3024	ygiW	1477.53	959.638	-0.622628
b3028	mdaB	333.743	201.883	-0.725218
b3161	mtr	48.7542	10.2285	-2.25293
b3172	argG	363.439	521.641	0.521344
b3260	dusB	232.621	338.282	0.540242
b3275	rrlD	63.3451	43.4518	-0.543817
b3347	fkpA	328.817	469.933	0.51517
b3359	argD	110.634	168.045	0.603051
b3460	livJ	473.929	116.684	-2.02206
b3469	zntA	84.3732	57.431	-0.554956
b3491	yhiM	51.5024	141.411	1.45718
b3506	slp	531.673	814.911	0.616105
b3507	dctR	31.3183	59.5108	0.926149
