X.ID_REF	IDENTIFIER	GSM1356340	GSM1356341	GSM1356342	GSM1356328	GSM1356329	GSM1356330	GSM1356331	GSM1356332	GSM1356333	GSM1356334	GSM1356335	GSM1356336	GSM1356337	GSM1356338	GSM1356339	GSM1356325	GSM1356326	GSM1356327
1759802_at	1759802_at	2.84304	2.86987	2.6105	2.60919	2.82239	2.60175	3.13487	2.88642	2.76301	2.86601	2.93106	2.69685	2.91346	2.75583	2.99766	2.73866	2.85133	2.69443
1761008_at	1761008_at	3.40881	3.39887	3.30833	3.35595	3.21514	3.4227	3.43559	3.38789	3.65266	3.30514	3.35973	3.4766	3.55139	3.79244	4.2643	3.29856	3.2589	3.63907
1761985_at	1761985_at	3.87444	3.52023	4.05465	3.85665	3.49577	3.76651	3.78795	3.89895	3.98107	3.73433	3.84357	3.84187	4.08802	4.24055	3.93272	3.82768	3.69751	4.45405
1762685_at	1762685_at	3.87924	4.52392	4.18848	4.18665	4.18665	4.15711	4.05921	3.96745	4.1095	4.18046	3.96775	4.18665	4.69446	4.33532	4.63979	4.06535	4.45295	4.38194
1763418_at	1763418_at	3.31756	3.70064	3.40286	3.60651	3.62705	3.61463	3.99948	3.7782	3.79896	3.46691	3.54298	3.09163	3.7143	3.57655	3.82403	3.42876	3.82232	3.80639
1765140_at	1765140_at	2.6237	2.6002	2.3271	2.63461	2.61222	2.67201	3.19727	2.5298	2.58704	2.96522	2.55598	2.55609	2.62207	2.58704	2.45451	2.68377	2.60639	2.56145
1765246_at	1765246_at	5.25217	5.24911	5.49355	5.56558	5.01626	5.18004	4.92679	4.9049	5.36216	5.0917	5.16093	5.08931	5.76457	5.47946	5.98245	4.81259	4.98764	4.89533
1765947_s_at	1765947_s_at	4.63836	5.08284	4.45544	4.46935	4.70964	4.28336	4.23126	4.4688	4.74106	4.15512	4.19576	4.1423	5.56082	5.20304	5.33522	4.43703	4.91538	4.58568
1766538_at	1766538_at	4.04199	3.89985	3.99161	3.98729	3.82319	3.58912	4.17622	4.07783	3.78778	3.89985	3.8684	3.89278	4.64497	4.33391	4.12685	3.53596	4.33207	4.01334
1767266_at	1767266_at	3.36812	3.79131	3.35714	3.58715	3.6519	3.58414	3.8574	3.699	3.55139	3.59103	3.60171	3.29838	3.82183	4.18368	4.34568	3.19398	3.40744	3.81428
1765459_s_at	aas	9.80093	9.89726	9.76249	9.81933	9.91451	9.94413	8.52434	9.01004	8.68968	9.73471	9.57784	9.54475	8.63627	8.70628	8.30658	9.24328	9.54602	9.72585
1767598_s_at	aat	10.1568	9.92627	10.0799	10.1594	10.2211	10.3322	9.63134	9.74317	9.4703	9.75901	9.74832	9.90471	8.96824	8.96673	8.41708	9.73677	9.74115	9.73603
1765611_at	abrB	4.60259	4.37816	4.72542	4.216	3.98883	3.90562	4.03788	4.27307	3.93791	4.33303	4.41404	4.18127	4.9431	4.71568	4.47097	3.86487	4.48885	4.24249
1760560_s_at	accA	12.9639	12.8847	12.9831	12.8437	12.9159	12.8479	12.1677	12.3387	12.0707	12.6542	12.6466	12.5809	12.8784	12.963	12.8244	12.2708	12.4057	12.4223
1767819_s_at	accB	14.0085	13.8636	13.9507	13.8082	13.8082	13.7356	12.4829	12.6067	12.4584	13.6181	13.5197	13.5234	13.5522	13.5611	13.3838	13.3156	13.5246	13.5454
1764178_s_at	accC	13.6811	13.5306	13.5977	13.4314	13.4234	13.3592	11.3908	11.9615	11.4084	13.1342	12.9595	12.9269	13.1784	13.1962	13.0773	13.1249	13.2926	13.2919
1768177_s_at	accD	12.4918	12.5129	12.4778	12.4385	12.4592	12.4294	12.2506	12.2941	12.0969	12.4189	12.3943	12.3825	12.412	12.4278	12.3834	11.8809	11.9529	12.1353
1763981_s_at	aceA	13.515	13.3261	13.1621	13.5087	13.4462	13.4298	12.8494	13.4775	13.1369	13.9405	13.7738	13.8323	13.5793	13.6722	13.7618	13.7182	13.7225	13.699
1761179_at	aceB	6.96946	6.97975	6.71596	6.95414	6.97975	6.97204	6.70236	6.68662	6.93068	7.30119	7.11734	7.33771	7.46419	7.87758	7.68034	6.6233	6.56284	6.68293
1761664_s_at	aceE	13.8447	13.7247	13.6893	13.6288	13.6876	13.5963	11.851	12.1411	11.81	12.9381	12.8908	12.8469	13.8389	13.7898	13.5767	13.9729	13.8531	13.7772
1766583_s_at	aceF	13.7411	13.6006	13.5653	13.4598	13.6134	13.4834	11.5779	11.7651	11.5183	12.582	12.5864	12.4454	13.5982	13.4431	13.3464	13.8336	13.6889	13.5883
1762781_at	aceK	9.18116	8.75617	8.814	9.11568	9.20558	9.21528	7.92136	8.18156	8.01078	9.48623	9.1393	9.29268	8.37133	8.53589	8.76092	8.94907	8.83022	8.91996
1765234_s_at	ackA	13.1506	12.9343	12.8446	12.6195	12.742	12.6646	12.5268	12.4651	12.6541	12.503	12.6535	12.6272	13.628	13.5448	13.5166	13.0517	12.9966	12.9596
1760881_s_at	acnA	11.2732	11.0098	10.8586	10.748	10.7528	10.6745	10.9419	11.0429	11.4419	11.3833	11.1937	11.2205	11.9494	11.911	12.1175	11.7998	11.5813	11.6419
1763163_s_at	acnB	8.32474	8.49041	8.20714	8.12141	7.92708	8.14751	7.15131	7.76434	8.32591	8.70652	8.53676	8.55536	9.13116	9.31563	9.59464	8.8986	8.23563	8.71664
1761147_s_at	acpD	4.8482	4.89222	4.83256	4.79033	4.8283	4.73983	4.44693	4.45054	4.62989	4.67716	4.69956	4.38749	5.41077	5.34703	5.32031	4.40641	4.58905	4.65913
1766568_s_at	acpP	14.5823	14.7514	14.734	14.7137	14.7065	14.7332	14.5881	14.5559	14.546	14.6977	14.7093	14.7111	14.4795	14.5447	14.5116	14.3189	14.3987	14.4097
1764127_s_at	acpS	5.17298	5.35107	5.30767	5.35367	4.85915	4.87719	4.74689	4.39537	4.85569	4.61797	4.74857	4.84133	5.26374	5.20025	5.38469	4.86251	4.79165	4.77077
1767801_s_at	acrA	13.0156	12.7576	12.6541	12.8454	12.8324	12.7832	12.9447	13.0442	12.9644	13.1551	13.1981	13.1759	12.8515	12.7909	12.9071	12.7578	12.9092	12.9069
1767319_s_at	acrB	12.5826	12.4777	12.3584	12.424	12.4861	12.4567	11.4435	11.6091	11.4381	12.6096	12.5215	12.4822	12.3842	12.3239	12.4291	12.7498	12.7598	12.6955
1762331_s_at	acrD	8.33119	8.16665	8.15516	8.2093	8.45549	8.4052	7.45014	7.57116	7.42092	8.45559	8.31533	8.23366	7.56951	7.2872	7.1959	8.18494	7.76405	7.9667
1761312_s_at	acrE	7.28934	7.08247	7.09393	6.80225	7.09393	6.82735	7.15813	7.16232	7.51717	6.65918	6.85095	6.82151	7.39177	7.52452	7.42699	7.80233	7.35603	7.17265
1764721_s_at	acrF	7.08874	7.48512	7.28706	7.05019	7.30015	7.12669	7.39387	7.41872	7.18878	7.10822	7.0936	7.00983	6.98727	7.01509	7.02384	7.99173	7.42895	7.4186
1766232_s_at	acrF_1	7.21092	7.38481	7.4192	7.52084	7.46651	7.5129	7.87039	7.67008	7.46222	7.34293	7.38481	7.43843	7.37072	6.91253	6.84094	7.42418	7.41781	7.40466
1761432_s_at	acrR	10.1453	10.4011	10.6011	10.6144	10.737	10.7122	11.1001	11.121	11.1653	11.2214	11.5087	11.5401	9.74235	9.55405	9.43478	10.0153	10.4049	10.3506
1761238_s_at	acs	10.4713	10.5179	10.2352	10.0622	10.0914	10.1195	11.9793	12.1072	12.1498	11.8132	11.7029	11.781	10.7485	10.9647	11.2225	10.1415	10.6671	10.8876
