ID	CIBLES	INTERACTION
dsrA	hns	sRNA_interaction
dsrA	rbsD	sRNA_interaction
dsrA	argR	sRNA_interaction
dsrA	ilvI	sRNA_interaction
micF	ompF	sRNA_interaction
micC	ompC	sRNA_interaction
oxyS	rpoS	sRNA_interaction
oxyS	fhlA	sRNA_interaction
istR	tisB	sRNA_interaction
omrA	fepA	sRNA_interaction
omrA	cirA	sRNA_interaction
omrA	ompR	sRNA_interaction
omrA	ompT	sRNA_interaction
omrA	fecA	sRNA_interaction
omrB	fecA	sRNA_interaction
omrB	cirA	sRNA_interaction
omrB	ompR	sRNA_interaction
omrB	ompT	sRNA_interaction
omrA	btuB	sRNA_interaction
omrA	glmM	sRNA_interaction
omrA	folP	sRNA_interaction
omrB	glmM	sRNA_interaction
omrB	folP	sRNA_interaction
rseX	ompC	sRNA_interaction
rybB	ompC	sRNA_interaction
ryhB	iscS	sRNA_interaction
rybB	ompW	sRNA_interaction
rydC	yejA	sRNA_interaction
ryhB	fur	sRNA_interaction
ryhB	sdhD	sRNA_interaction
ryhB	sodB	sRNA_interaction
ryhB	acnA	sRNA_interaction
ryhB	fumA	sRNA_interaction
Spot_42	galK	sRNA_interaction
cyaR	luxS	sRNA_interaction
cyaR	yqaE	sRNA_interaction
cyaR	nadE	sRNA_interaction
cyaR	ompX	sRNA_interaction
dicF	ftsZ	sRNA_interaction
sgrS	rpoS	sRNA_interaction
sgrS	ptsG	sRNA_interaction
symR	symE	sRNA_interaction
sokB	hokB	sRNA_interaction
sokB	mokB	sRNA_interaction
sokC	hokC	sRNA_interaction
sokC	mokC	sRNA_interaction
omrA	gntP	sRNA_interaction
oxyS	yobF	sRNA_interaction
oxyS	wrbA	sRNA_interaction
gcvB	cycA	sRNA_interaction
omrA	fecD	sRNA_interaction
omrB	gntP	sRNA_interaction
rdlD	ldrD	sRNA_interaction
gcvB	sstT	sRNA_interaction
ryhB	bfr	sRNA_interaction
ryhB	ftnA	sRNA_interaction
FinP	traJ	sRNA_interaction
omrB	csgD	sRNA_interaction
omrA	csgD	sRNA_interaction
fnrS	sodA	sRNA_interaction
fnrS	sodB	sRNA_interaction
fnrS	metE	sRNA_interaction
fnrS	cydD	sRNA_interaction
MicA	phoP	sRNA_interaction
sibC	ibsC	sRNA_interaction
MicA	luxS	sRNA_interaction
sibB	ibsB	sRNA_interaction
mgrR	ygdQ	sRNA_interaction
Spot_42	maeA	sRNA_interaction
Spot_42	sthA	sRNA_interaction
Spot_42	fucI	sRNA_interaction
Spot_42	fucK	sRNA_interaction
Spot_42	xylF	sRNA_interaction
Spot_42	srlA	sRNA_interaction
Spot_42	nanC	sRNA_interaction
Spot_42	nanT	sRNA_interaction
Spot_42	lldP	sRNA_interaction
Spot_42	yjiA	sRNA_interaction
Spot_42	ytfJ	sRNA_interaction
sgrS	manX	sRNA_interaction
rybB	tsx	sRNA_interaction
rybB	ompA	sRNA_interaction
rybB	ycfL	sRNA_interaction
rybB	ygiM	sRNA_interaction
ryhB	cysE	sRNA_interaction
rybB	rbsB	sRNA_interaction
rybB	fiu	sRNA_interaction
rybB	ompF	sRNA_interaction
rybB	fadL	sRNA_interaction
rybB	nmpC	sRNA_interaction
rybB	hinT	sRNA_interaction
rybB	rluD	sRNA_interaction
mgrR	eptB	sRNA_interaction
rybB	yfeK	sRNA_interaction
rybB	fimA	sRNA_interaction
rybB	lamB	sRNA_interaction
rybB	rraB	sRNA_interaction
rybB	ydeN	sRNA_interaction
rybB	fumC	sRNA_interaction
rybB	asr	sRNA_interaction
rybB	rbsK	sRNA_interaction
rybB	yhjJ	sRNA_interaction
MicA	lamB	sRNA_interaction
MicA	ompA	sRNA_interaction
MicA	ompW	sRNA_interaction
MicA	tsx	sRNA_interaction
MicA	ygiM	sRNA_interaction
MicA	yfeK	sRNA_interaction
MicA	ecnB	sRNA_interaction
MicA	ompX	sRNA_interaction
MicA	pal	sRNA_interaction
MicA	fimB	sRNA_interaction
MicA	gloA	sRNA_interaction
MicA	lpxT	sRNA_interaction
chiX	citA	sRNA_interaction
MicA	ybgF	sRNA_interaction
MicA	ldtC	sRNA_interaction
gcvB	csgD	sRNA_interaction
mcaS	csgD	sRNA_interaction
rprA	ydaM	sRNA_interaction
rprA	csgD	sRNA_interaction
micF	lrp	sRNA_interaction
sgrS	manY	sRNA_interaction
sgrS	manZ	sRNA_interaction
oxyS	flhD	sRNA_interaction
omrA	flhD	sRNA_interaction
omrB	flhD	sRNA_interaction
arcZ	flhD	sRNA_interaction
ohsC	shoB	sRNA_interaction
sibD	ibsD	sRNA_interaction
chiX	chiP	sRNA_interaction
sibE	ibsE	sRNA_interaction
fnrS	folX	sRNA_interaction
fnrS	gpmA	sRNA_interaction
fnrS	folE	sRNA_interaction
fnrS	maeA	sRNA_interaction
gcvB	lrp	sRNA_interaction
gcvB	dppA	sRNA_interaction
Spot_42	caiA	sRNA_interaction
Spot_42	atoD	sRNA_interaction
Spot_42	puuE	sRNA_interaction
Spot_42	paaK	sRNA_interaction
Spot_42	fucP	sRNA_interaction
Spot_42	ascF	sRNA_interaction
sibA	ibsA	sRNA_interaction
micF	phoE	sRNA_interaction
micF	cpxR	sRNA_interaction
Spot_42	icd	sRNA_interaction
Spot_42	sucC	sRNA_interaction
Spot_42	gdhA	sRNA_interaction
rybB	mraZ	sRNA_interaction
fnrS	iscR	sRNA_interaction
fnrS	marA	sRNA_interaction
fnrS	nagZ	sRNA_interaction
fnrS	sdhA	sRNA_interaction
ryhB	nirB	sRNA_interaction
ryhB	marA	sRNA_interaction
ryhB	nagZ	sRNA_interaction
ryhB	sdhA	sRNA_interaction
ryhB	erpA	sRNA_interaction
cyaR	sdhA	sRNA_interaction
cyaR	manX	sRNA_interaction
cyaR	yobF	sRNA_interaction
MicL	lpp	sRNA_interaction
chiX	chbC	sRNA_interaction
fnrS	yobA	sRNA_interaction
rybB	sdhC	sRNA_interaction
ryhB	sdhC	sRNA_interaction
Spot_42	sdhC	sRNA_interaction
Spot_42	gltA	sRNA_interaction
IpeX	ompF	sRNA_interaction
IpeX	ompC	sRNA_interaction
oxyS	pqqL	sRNA_interaction
oxyS	uhpT	sRNA_interaction
rdlA	ldrA	sRNA_interaction
rdlB	ldrB	sRNA_interaction
rdlC	ldrC	sRNA_interaction
gcvB	oppA	sRNA_interaction
oxyS	dps	sRNA_interaction
oxyS	gadB	sRNA_interaction
oxyS	yhiM	sRNA_interaction
RyhB	sdhCDAB	sRNA_interaction
arrS	gadE	sRNA_interaction
mntS	yliL	sRNA_interaction
mntS	aroM	sRNA_interaction
mntS	alaE	sRNA_interaction
mntS	tyrA	sRNA_interaction
mntS	yaiA	sRNA_interaction
mntS	aroF	sRNA_interaction
mntS	aroL	sRNA_interaction
gcvB	phoP	sRNA_interaction
ryhB	msrB	sRNA_interaction
dsrA	mreB	sRNA_interaction
