sRNA	gen_type
dsrA	sRNA
dsrA	sRNA
dsrA	sRNA
dsrA	sRNA
micF	sRNA
micC	sRNA
oxyS	sRNA
oxyS	sRNA
istR	sRNA
omrA	sRNA
omrA	sRNA
omrA	sRNA
omrA	sRNA
omrA	sRNA
omrB	sRNA
omrB	sRNA
omrB	sRNA
omrB	sRNA
omrA	sRNA
omrA	sRNA
omrA	sRNA
omrB	sRNA
omrB	sRNA
rseX	sRNA
rybB	sRNA
ryhB	sRNA
rybB	sRNA
rydC	sRNA
ryhB	sRNA
ryhB	sRNA
ryhB	sRNA
ryhB	sRNA
ryhB	sRNA
Spot_42	sRNA
cyaR	sRNA
cyaR	sRNA
cyaR	sRNA
cyaR	sRNA
dicF	sRNA
sgrS	sRNA
sgrS	sRNA
symR	sRNA
sokB	sRNA
sokB	sRNA
sokC	sRNA
sokC	sRNA
omrA	sRNA
oxyS	sRNA
oxyS	sRNA
gcvB	sRNA
omrA	sRNA
omrB	sRNA
rdlD	sRNA
gcvB	sRNA
ryhB	sRNA
ryhB	sRNA
FinP	sRNA
omrB	sRNA
omrA	sRNA
fnrS	sRNA
fnrS	sRNA
fnrS	sRNA
fnrS	sRNA
MicA	sRNA
sibC	sRNA
MicA	sRNA
sibB	sRNA
mgrR	sRNA
Spot_42	sRNA
Spot_42	sRNA
Spot_42	sRNA
Spot_42	sRNA
Spot_42	sRNA
Spot_42	sRNA
Spot_42	sRNA
Spot_42	sRNA
Spot_42	sRNA
Spot_42	sRNA
Spot_42	sRNA
sgrS	sRNA
rybB	sRNA
rybB	sRNA
rybB	sRNA
rybB	sRNA
ryhB	sRNA
rybB	sRNA
rybB	sRNA
rybB	sRNA
rybB	sRNA
rybB	sRNA
rybB	sRNA
rybB	sRNA
mgrR	sRNA
rybB	sRNA
rybB	sRNA
rybB	sRNA
rybB	sRNA
rybB	sRNA
rybB	sRNA
rybB	sRNA
rybB	sRNA
rybB	sRNA
MicA	sRNA
MicA	sRNA
MicA	sRNA
MicA	sRNA
MicA	sRNA
MicA	sRNA
MicA	sRNA
MicA	sRNA
MicA	sRNA
MicA	sRNA
MicA	sRNA
MicA	sRNA
chiX	sRNA
MicA	sRNA
MicA	sRNA
gcvB	sRNA
mcaS	sRNA
rprA	sRNA
rprA	sRNA
micF	sRNA
sgrS	sRNA
sgrS	sRNA
oxyS	sRNA
omrA	sRNA
omrB	sRNA
arcZ	sRNA
ohsC	sRNA
sibD	sRNA
chiX	sRNA
sibE	sRNA
fnrS	sRNA
fnrS	sRNA
fnrS	sRNA
fnrS	sRNA
gcvB	sRNA
gcvB	sRNA
Spot_42	sRNA
Spot_42	sRNA
Spot_42	sRNA
Spot_42	sRNA
Spot_42	sRNA
Spot_42	sRNA
sibA	sRNA
micF	sRNA
micF	sRNA
Spot_42	sRNA
Spot_42	sRNA
Spot_42	sRNA
rybB	sRNA
fnrS	sRNA
fnrS	sRNA
fnrS	sRNA
fnrS	sRNA
ryhB	sRNA
ryhB	sRNA
ryhB	sRNA
ryhB	sRNA
ryhB	sRNA
cyaR	sRNA
cyaR	sRNA
cyaR	sRNA
MicL	sRNA
chiX	sRNA
fnrS	sRNA
rybB	sRNA
ryhB	sRNA
Spot_42	sRNA
Spot_42	sRNA
IpeX	sRNA
IpeX	sRNA
oxyS	sRNA
oxyS	sRNA
rdlA	sRNA
rdlB	sRNA
rdlC	sRNA
gcvB	sRNA
oxyS	sRNA
oxyS	sRNA
oxyS	sRNA
RyhB	sRNA
arrS	sRNA
mntS	sRNA
mntS	sRNA
mntS	sRNA
mntS	sRNA
mntS	sRNA
mntS	sRNA
mntS	sRNA
gcvB	sRNA
ryhB	sRNA
dsrA	sRNA
